MMSI,时间(Local),Unix时间戳,视觉类别,原始类别描述,原始类别编码,航行状态,纬度,经度,航速,航向,船首向,船长,船宽
413272580,2025-12-04 13:59:11,1764827951.971,other,Unknown,,,38.87905,117.8401,0.1,16.9,16.0,53.0,9.0
413498530,2025-12-04 13:59:12,1764827952.428,oil tanker,油轮-通用,80.0,,38.89738,117.851853,,117.5,511.0,54.0,9.0
414034000,2025-12-04 13:59:12,1764827952.688,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935122,117.802707,0.1,192.2,290.0,225.0,32.0
413294390,2025-12-04 13:59:13,1764827953.252,oil tanker,油轮-通用,80.0,锚泊,38.88795,117.8431,0.1,43.5,511.0,65.0,12.0
414896000,2025-12-04 13:59:16,1764827956.513,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.988913,117.790453,,318.2,348.0,197.0,35.0
413424590,2025-12-04 13:59:17,1764827957.722,other,疏浚/水下作业,33.0,在航(使用引擎),38.915348,117.821492,,360.0,511.0,45.0,18.0
413234450,2025-12-04 13:59:17,1764827957.814,other,其他-通用,90.0,在航(使用引擎),38.881137,117.845227,0.2,267.5,511.0,49.0,19.0
413305490,2025-12-04 13:59:18,1764827958.664,tug,拖轮(Tug),52.0,在航(使用引擎),38.935358,117.803038,0.5,157.9,511.0,40.0,10.0
4125055,2025-12-04 13:59:20,1764827960.398,other,Unknown,,,38.975798,117.78751,,,,,
414034000,2025-12-04 13:59:21,1764827961.626,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935117,117.802713,0.1,192.2,290.0,225.0,32.0
413368420,2025-12-04 13:59:22,1764827962.224,other,其他-通用,90.0,,38.893813,117.845608,,306.5,511.0,49.0,18.0
477637600,2025-12-04 13:59:25,1764827965.47,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.931898,118.042298,11.8,282.5,285.0,335.0,48.0
413424590,2025-12-04 13:59:27,1764827967.658,other,疏浚/水下作业,33.0,在航(使用引擎),38.915352,117.821492,,360.0,511.0,45.0,18.0
413234450,2025-12-04 13:59:28,1764827968.348,other,其他-通用,90.0,在航(使用引擎),38.88114,117.84524,0.1,267.5,511.0,49.0,19.0
413305490,2025-12-04 13:59:28,1764827968.745,tug,拖轮(Tug),52.0,在航(使用引擎),38.935363,117.803035,0.3,160.7,511.0,40.0,10.0
413018010,2025-12-04 13:59:32,1764827972.589,tug,拖轮(Tug),52.0,在航(使用引擎),38.974025,117.78904,0.1,61.4,202.0,39.0,10.0
413345570,2025-12-04 13:59:32,1764827972.757,tug,拖轮(Tug),52.0,在航(使用引擎),38.95303,117.759432,4.9,289.4,290.0,38.0,10.0
413272580,2025-12-04 13:59:33,1764827973.973,other,Unknown,,,38.879083,117.8401,0.1,1.1,1.0,53.0,9.0
373146000,2025-12-04 13:59:36,1764827976.352,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.945167,117.769967,0.1,287.0,288.0,200.0,32.0
413424590,2025-12-04 13:59:37,1764827977.497,other,疏浚/水下作业,33.0,在航(使用引擎),38.915343,117.821495,0.1,360.0,511.0,45.0,18.0
413234450,2025-12-04 13:59:38,1764827978.537,other,其他-通用,90.0,在航(使用引擎),38.881147,117.84524,,267.5,511.0,49.0,19.0
413703280,2025-12-04 13:59:38,1764827978.783,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.915383,117.817933,,307.5,197.0,105.0,16.0
413305490,2025-12-04 13:59:39,1764827979.733,tug,拖轮(Tug),52.0,在航(使用引擎),38.935363,117.803032,0.2,186.6,511.0,40.0,10.0
339301430,2025-12-04 13:59:39,1764827979.996,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.93972,117.768987,,287.9,18.0,99.0,17.0
414034000,2025-12-04 13:59:41,1764827981.97,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935103,117.802718,0.1,192.2,291.0,225.0,32.0
413368420,2025-12-04 13:59:42,1764827982.11,other,其他-通用,90.0,在航(使用引擎),38.893813,117.845608,,306.5,511.0,49.0,18.0
413506660,2025-12-04 13:59:46,1764827986.618,oil tanker,油轮-通用,80.0,,38.902072,117.852432,0.3,190.2,511.0,54.0,10.0
413208360,2025-12-04 13:59:46,1764827986.724,oil tanker,油轮-通用,80.0,,38.986308,117.793445,,333.1,511.0,52.0,9.0
413506660,2025-12-04 13:59:46,1764827986.735,oil tanker,油轮-通用,80.0,,38.902077,117.85244,0.2,190.2,511.0,54.0,10.0
413424590,2025-12-04 13:59:47,1764827987.148,other,疏浚/水下作业,33.0,在航(使用引擎),38.915332,117.821503,0.2,360.0,511.0,45.0,18.0
413234450,2025-12-04 13:59:47,1764827987.952,other,其他-通用,90.0,在航(使用引擎),38.881147,117.84524,,267.5,511.0,49.0,19.0
477925600,2025-12-04 13:59:48,1764827988.35,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.965855,117.797858,0.1,286.1,281.0,325.0,52.0
414034000,2025-12-04 13:59:52,1764827992.465,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935095,117.802713,0.1,192.2,291.0,225.0,32.0
538007644,2025-12-04 13:59:56,1764827996.784,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.920367,117.818033,,305.0,200.0,189.0,32.0
413424590,2025-12-04 13:59:56,1764827996.985,other,疏浚/水下作业,33.0,在航(使用引擎),38.915322,117.821515,0.3,128.3,511.0,45.0,18.0
412365370,2025-12-04 13:59:58,1764827998.03,other,其他-通用,90.0,,38.891633,117.849517,0.1,2.9,511.0,46.0,16.0
412365370,2025-12-04 13:59:58,1764827998.072,other,其他-通用,90.0,,38.891633,117.849517,0.1,2.9,511.0,46.0,16.0
413234450,2025-12-04 13:59:58,1764827998.857,other,其他-通用,90.0,在航(使用引擎),38.881147,117.845253,0.1,267.5,511.0,49.0,19.0
413305490,2025-12-04 13:59:59,1764827999.95,tug,拖轮(Tug),52.0,在航(使用引擎),38.935338,117.803067,0.3,146.6,511.0,40.0,10.0
414034000,2025-12-04 14:00:01,1764828001.148,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935092,117.80271,0.1,192.2,291.0,225.0,32.0
413368420,2025-12-04 14:00:02,1764828002.244,other,其他-通用,90.0,在航(使用引擎),38.893815,117.845608,,306.5,511.0,49.0,18.0
413424590,2025-12-04 14:00:06,1764828006.592,other,疏浚/水下作业,33.0,在航(使用引擎),38.915313,117.821522,0.2,136.7,511.0,45.0,18.0
413305910,2025-12-04 14:00:08,1764828008.152,oil tanker,油轮-通用,80.0,锚泊,38.91255,117.86132,0.1,265.6,,52.0,9.0
413234450,2025-12-04 14:00:08,1764828008.505,other,其他-通用,90.0,在航(使用引擎),38.88115,117.845253,0.1,267.5,511.0,49.0,19.0
413304980,2025-12-04 14:00:08,1764828008.773,tug,拖轮(Tug),52.0,系泊(Moored),38.981902,117.796485,0.4,122.7,314.0,69.0,15.0
413305490,2025-12-04 14:00:09,1764828009.636,tug,拖轮(Tug),52.0,在航(使用引擎),38.935362,117.803043,0.2,318.5,511.0,40.0,10.0
414774000,2025-12-04 14:00:11,1764828011.523,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.947395,117.761782,0.2,352.8,289.0,190.0,32.0
414034000,2025-12-04 14:00:12,1764828012.695,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935085,117.802713,0.1,192.2,291.0,225.0,32.0
563244300,2025-12-04 14:00:13,1764828013.74,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.951842,117.84963,,105.1,281.0,327.0,57.0
477637600,2025-12-04 14:00:15,1764828015.817,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.932528,118.038677,12.6,282.7,285.0,335.0,48.0
413424590,2025-12-04 14:00:16,1764828016.022,other,疏浚/水下作业,33.0,在航(使用引擎),38.9153,117.821525,0.2,136.7,511.0,45.0,18.0
636021238,2025-12-04 14:00:16,1764828016.255,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.951117,117.85407,,1.7,282.0,340.0,62.0
413234450,2025-12-04 14:00:17,1764828017.82,other,其他-通用,90.0,在航(使用引擎),38.88115,117.845253,0.1,267.5,511.0,49.0,19.0
413272580,2025-12-04 14:00:18,1764828018.966,other,Unknown,,锚泊,38.879083,117.8401,,94.2,94.0,53.0,9.0
414034000,2025-12-04 14:00:21,1764828021.64,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.93508,117.802713,0.1,192.2,291.0,225.0,32.0
477637600,2025-12-04 14:00:25,1764828025.473,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.932653,118.037935,12.7,282.7,285.0,335.0,48.0
413424590,2025-12-04 14:00:25,1764828025.989,other,疏浚/水下作业,33.0,在航(使用引擎),38.915302,117.821522,0.2,360.0,511.0,45.0,18.0
413506660,2025-12-04 14:00:26,1764828026.772,oil tanker,油轮-通用,80.0,,38.902073,117.852463,0.2,190.2,511.0,54.0,10.0
413363350,2025-12-04 14:00:26,1764828026.934,other,疏浚/水下作业,33.0,锚泊,38.958998,117.829835,0.1,66.5,511.0,58.0,12.0
413234450,2025-12-04 14:00:28,1764828028.343,other,其他-通用,90.0,在航(使用引擎),38.88115,117.845253,0.1,267.5,511.0,49.0,19.0
413424590,2025-12-04 14:04:37,1764828277.72,other,疏浚/水下作业,33.0,在航(使用引擎),38.915322,117.821503,,360.0,511.0,45.0,18.0
413234450,2025-12-04 14:04:38,1764828278.907,other,其他-通用,90.0,在航(使用引擎),38.881157,117.84528,0.2,267.5,511.0,49.0,19.0
4125001,2025-12-04 14:04:39,1764828279.829,other,Unknown,,,38.981433,117.805332,,,,,
414034000,2025-12-04 14:04:41,1764828281.475,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935073,117.802713,,192.2,291.0,225.0,32.0
413272580,2025-12-04 14:04:45,1764828285.985,other,Unknown,,锚泊,38.879133,117.840433,,306.0,306.0,53.0,9.0
413424590,2025-12-04 14:04:47,1764828287.151,other,疏浚/水下作业,33.0,在航(使用引擎),38.915323,117.821502,,360.0,511.0,45.0,18.0
413506660,2025-12-04 14:04:47,1764828287.247,oil tanker,油轮-通用,80.0,锚泊,38.902063,117.852443,0.2,190.2,511.0,54.0,10.0
413202940,2025-12-04 14:04:47,1764828287.631,other,Unknown,,在航(使用引擎),38.981897,117.79596,,360.0,511.0,,
413234450,2025-12-04 14:04:48,1764828288.506,other,其他-通用,90.0,在航(使用引擎),38.881157,117.84528,0.2,267.5,511.0,49.0,19.0
413305490,2025-12-04 14:04:49,1764828289.423,tug,拖轮(Tug),52.0,在航(使用引擎),38.935312,117.803115,,336.5,511.0,40.0,10.0
4125001,2025-12-04 14:04:49,1764828289.811,other,Unknown,,,38.981435,117.805332,,,,,
414034000,2025-12-04 14:04:51,1764828291.963,general cargo vessels,货轮-通用,70.0,在航(使用引擎),38.935067,117.802713,,192.2,291.0,225.0,32.0
413424590,2025-12-04 14:04:56,1764828296.783,other,疏浚/水下作业,33.0,在航(使用引擎),38.91532,117.8215,,360.0,511.0,45.0,18.0
413234450,2025-12-04 14:04:58,1764828298.723,other,其他-通用,90.0,在航(使用引擎),38.88116,117.845293,0.1,267.5,511.0,49.0,19.0
4125001,2025-12-04 14:04:59,1764828299.825,other,Unknown,,,38.981435,117.805332,,,,,
311000193,2025-12-04 14:05:06,1764828306.414,general cargo vessels,货轮-通用,70.0,系泊(Moored),38.945758,117.767545,,114.1,290.0,210.0,36.0
413424590,2025-12-04 14:05:06,1764828306.697,other,疏浚/水下作业,33.0,在航(使用引擎),38.915317,117.821503,,360.0,511.0,45.0,18.0
413234450,2025-12-04 14:05:08,1764828308.276,other,其他-通用,90.0,在航(使用引擎),38.88116,117.845293,0.1,267.5,511.0,49.0,19.0
413305490,2025-12-04 14:05:09,1764828309.327,tug,拖轮(Tug),52.0,在航(使用引擎),38.935303,117.80312,0.1,177.4,511.0,40.0,10.0
412365370,2025-12-04 14:05:09,1764828309.657,other,其他-通用,90.0,,38.8917,117.849767,0.1,2.9,511.0,46.0,16.0
412365370,2025-12-04 14:05:09,1764828309.72,other,其他-通用,90.0,,38.8917,117.849767,0.1,2.9,511.0,46.0,16.0
413305910,2025-12-04 14:05:10,1764828310.009,oil tanker,油轮-通用,80.0,,38.9126,117.86139,0.8,261.7,511.0,52.0,9.0
